edgename	CI	
g2 (pp3) r3	23.584084	
m2 (pp3) r3	23.584084	
g2 (pp3) m2	23.321302	
g2 (pp3) r4	23.321302	
m2 (pp3) r4	23.321302	
g2 (pp3) m3	23.87793	
g2 (pp3) k1	23.87793	
m3 (pp3) k1	23.87793	
g2 (pp3) m3	22.169955	
g2 (pp3) r2	22.169955	
m3 (pp3) r2	22.169955	
g2 (pp3) m3	31.174013	
g2 (pp3) r3	31.174013	
m3 (pp3) r3	31.174013	
g2 (pp3) m3	29.791129	
g2 (pp3) r4	29.791129	
m3 (pp3) r4	29.791129	
g2 (pp3) m4	130.73578	
g2 (pp3) k4	130.73578	
m4 (pp3) k4	130.73578	
g2 (pp3) m4	86.162339	
g2 (pp3) r2	86.162339	
m4 (pp3) r2	86.162339	
g2 (pp3) m5	32.074659	
g2 (pp3) k6	32.074659	
m5 (pp3) k6	32.074659	
g2 (pp3) m7	20.499278	
g2 (pp3) r2	20.499278	
m7 (pp3) r2	20.499278	
g2 (pp3) k1	20.546466	
g2 (pp3) k3	20.546466	
k1 (pp3) k3	20.546466	
g2 (pp3) k2	21.222777	
g2 (pp3) k3	21.222777	
k2 (pp3) k3	21.222777	
g2 (pp3) k2	53.078174	
g2 (pp3) r2	53.078174	
k2 (pp3) r2	53.078174	
g2 (pp3) k2	20.199614	
g2 (pp3) r4	20.199614	
k2 (pp3) r4	20.199614	
g2 (pp3) k3	46.269774	
g2 (pp3) r2	46.269774	
k3 (pp3) r2	46.269774	
g2 (pp3) k3	23.009956	
g2 (pp3) r3	23.009956	
k3 (pp3) r3	23.009956	
g2 (pp3) k3	24.056636	
g2 (pp3) r4	24.056636	
k3 (pp3) r4	24.056636	
g2 (pp3) k4	93.027142	
g2 (pp3) r2	93.027142	
k4 (pp3) r2	93.027142	
g2 (pp3) k5	28.579965	
g2 (pp3) r2	28.579965	
k5 (pp3) r2	28.579965	
g2 (pp3) k7	20.436801	
g2 (pp3) r2	20.436801	
k7 (pp3) r2	20.436801	
g2 (pp3) p3	20.63483	
g2 (pp3) r2	20.63483	
p3 (pp3) r2	20.63483	
g2 (pp3) r2	20.768147	
g2 (pp3) q1	20.768147	
r2 (pp3) q1	20.768147	
g2 (pp3) r2	20.090609	
g2 (pp3) q2	20.090609	
r2 (pp3) q2	20.090609	
m1 (pp3) m3	32.621553	
m1 (pp3) p1	32.621553	
m3 (pp3) p1	32.621553	
m1 (pp3) m3	22.125702	
m1 (pp3) r1	22.125702	
m3 (pp3) r1	22.125702	
m1 (pp3) m3	20.543678	
m1 (pp3) r2	20.543678	
m3 (pp3) r2	20.543678	
m1 (pp3) m4	98.829156	
m1 (pp3) k4	98.829156	
m4 (pp3) k4	98.829156	
m1 (pp3) m5	39.19894	
m1 (pp3) p2	39.19894	
m5 (pp3) p2	39.19894	
m1 (pp3) m5	20.537216	
m1 (pp3) r2	20.537216	
m5 (pp3) r2	20.537216	
m1 (pp3) m6	22.332752	
m1 (pp3) r1	22.332752	
m6 (pp3) r1	22.332752	
m1 (pp3) m6	20.308944	
m1 (pp3) r2	20.308944	
m6 (pp3) r2	20.308944	
m1 (pp3) k3	21.207249	
m1 (pp3) r1	21.207249	
k3 (pp3) r1	21.207249	
m1 (pp3) p1	29.591826	
m1 (pp3) r1	29.591826	
p1 (pp3) r1	29.591826	
m1 (pp3) p1	23.667163	
m1 (pp3) r2	23.667163	
p1 (pp3) r2	23.667163	
m1 (pp3) p2	22.869137	
m1 (pp3) r2	22.869137	
p2 (pp3) r2	22.869137	
m2 (pp3) m3	33.878579	
m2 (pp3) p1	33.878579	
m3 (pp3) p1	33.878579	
m2 (pp3) m3	23.830915	
m2 (pp3) r1	23.830915	
m3 (pp3) r1	23.830915	
m2 (pp3) m3	34.768951	
m2 (pp3) r2	34.768951	
m3 (pp3) r2	34.768951	
m2 (pp3) m4	27.039163	
m2 (pp3) k4	27.039163	
m4 (pp3) k4	27.039163	
m2 (pp3) p1	47.171515	
m2 (pp3) r1	47.171515	
p1 (pp3) r1	47.171515	
m2 (pp3) p1	156.65744	
m2 (pp3) r2	156.65744	
p1 (pp3) r2	156.65744	
m2 (pp3) r1	20.516762	
m2 (pp3) r3	20.516762	
r1 (pp3) r3	20.516762	
m2 (pp3) r1	20.943615	
m2 (pp3) r4	20.943615	
r1 (pp3) r4	20.943615	
m3 (pp3) m4	21.22458	
m3 (pp3) k3	21.22458	
m4 (pp3) k3	21.22458	
m3 (pp3) m4	48.182606	
m3 (pp3) k4	48.182606	
m4 (pp3) k4	48.182606	
m3 (pp3) k1	25.931119	
m3 (pp3) p1	25.931119	
k1 (pp3) p1	25.931119	
m3 (pp3) k1	20.693468	
m3 (pp3) r1	20.693468	
k1 (pp3) r1	20.693468	
m3 (pp3) k2	23.414137	
m3 (pp3) k3	23.414137	
k2 (pp3) k3	23.414137	
m3 (pp3) k3	23.523402	
m3 (pp3) k4	23.523402	
k3 (pp3) k4	23.523402	
m3 (pp3) p1	68.73461	
m3 (pp3) r1	68.73461	
p1 (pp3) r1	68.73461	
m3 (pp3) p1	81.505188	
m3 (pp3) r2	81.505188	
p1 (pp3) r2	81.505188	
m3 (pp3) p1	26.824745	
m3 (pp3) r3	26.824745	
p1 (pp3) r3	26.824745	
m3 (pp3) p1	29.467577	
m3 (pp3) r4	29.467577	
p1 (pp3) r4	29.467577	
m3 (pp3) r1	23.578993	
m3 (pp3) r3	23.578993	
r1 (pp3) r3	23.578993	
m3 (pp3) r1	24.429682	
m3 (pp3) r4	24.429682	
r1 (pp3) r4	24.429682	
m4 (pp3) m5	35.459209	
m4 (pp3) k4	35.459209	
m5 (pp3) k4	35.459209	
m4 (pp3) m6	20.556531	
m4 (pp3) k4	20.556531	
m6 (pp3) k4	20.556531	
m4 (pp3) m7	68.308492	
m4 (pp3) k4	68.308492	
m7 (pp3) k4	68.308492	
m4 (pp3) k1	95.862971	
