edgename	CI	
g2 (pp) G58	21.764827	
m1 (pp) G58	21.764827	
m3 (pp) G58	21.764827	
g2 (pp) G59	20.132171	
m1 (pp) G59	20.132171	
k2 (pp) G59	20.132171	
g2 (pp) G60	24.387936	
m1 (pp) G60	24.387936	
k3 (pp) G60	24.387936	
g2 (pp) G61	21.002242	
m1 (pp) G61	21.002242	
r2 (pp) G61	21.002242	
g2 (pp) G62	25.552296	
m2 (pp) G62	25.552296	
r2 (pp) G62	25.552296	
g2 (pp) G63	23.584084	
m2 (pp) G63	23.584084	
r3 (pp) G63	23.584084	
g2 (pp) G64	23.321302	
m2 (pp) G64	23.321302	
r4 (pp) G64	23.321302	
g2 (pp) G65	23.87793	
m3 (pp) G65	23.87793	
k1 (pp) G65	23.87793	
g2 (pp) G66	22.169955	
m3 (pp) G66	22.169955	
r2 (pp) G66	22.169955	
g2 (pp) G67	31.174013	
m3 (pp) G67	31.174013	
r3 (pp) G67	31.174013	
g2 (pp) G68	29.791129	
m3 (pp) G68	29.791129	
r4 (pp) G68	29.791129	
g2 (pp) G69	130.73578	
m4 (pp) G69	130.73578	
k4 (pp) G69	130.73578	
g2 (pp) G70	86.162339	
m4 (pp) G70	86.162339	
r2 (pp) G70	86.162339	
g2 (pp) G71	32.074659	
m5 (pp) G71	32.074659	
k6 (pp) G71	32.074659	
g2 (pp) G72	20.499278	
m7 (pp) G72	20.499278	
r2 (pp) G72	20.499278	
g2 (pp) G73	20.546466	
k1 (pp) G73	20.546466	
k3 (pp) G73	20.546466	
g2 (pp) G74	21.222777	
k2 (pp) G74	21.222777	
k3 (pp) G74	21.222777	
g2 (pp) G75	53.078174	
k2 (pp) G75	53.078174	
r2 (pp) G75	53.078174	
g2 (pp) G76	20.199614	
k2 (pp) G76	20.199614	
r4 (pp) G76	20.199614	
g2 (pp) G77	46.269774	
k3 (pp) G77	46.269774	
r2 (pp) G77	46.269774	
g2 (pp) G78	23.009956	
k3 (pp) G78	23.009956	
r3 (pp) G78	23.009956	
g2 (pp) G79	24.056636	
k3 (pp) G79	24.056636	
r4 (pp) G79	24.056636	
g2 (pp) G80	93.027142	
k4 (pp) G80	93.027142	
r2 (pp) G80	93.027142	
g2 (pp) G81	28.579965	
k5 (pp) G81	28.579965	
r2 (pp) G81	28.579965	
g2 (pp) G82	20.436801	
k7 (pp) G82	20.436801	
r2 (pp) G82	20.436801	
g2 (pp) G83	20.63483	
p3 (pp) G83	20.63483	
r2 (pp) G83	20.63483	
g2 (pp) G84	20.768147	
r2 (pp) G84	20.768147	
q1 (pp) G84	20.768147	
g2 (pp) G85	20.090609	
r2 (pp) G85	20.090609	
q2 (pp) G85	20.090609	
m1 (pp) G86	32.621553	
m3 (pp) G86	32.621553	
p1 (pp) G86	32.621553	
m1 (pp) G87	22.125702	
m3 (pp) G87	22.125702	
r1 (pp) G87	22.125702	
m1 (pp) G88	20.543678	
m3 (pp) G88	20.543678	
r2 (pp) G88	20.543678	
m1 (pp) G89	98.829156	
m4 (pp) G89	98.829156	
k4 (pp) G89	98.829156	
m1 (pp) G90	39.19894	
m5 (pp) G90	39.19894	
p2 (pp) G90	39.19894	
m1 (pp) G91	20.537216	
m5 (pp) G91	20.537216	
r2 (pp) G91	20.537216	
m1 (pp) G92	22.332752	
m6 (pp) G92	22.332752	
r1 (pp) G92	22.332752	
m1 (pp) G93	20.308944	
m6 (pp) G93	20.308944	
r2 (pp) G93	20.308944	
m1 (pp) G94	21.207249	
k3 (pp) G94	21.207249	
r1 (pp) G94	21.207249	
m1 (pp) G95	29.591826	
p1 (pp) G95	29.591826	
r1 (pp) G95	29.591826	
m1 (pp) G96	23.667163	
p1 (pp) G96	23.667163	
r2 (pp) G96	23.667163	
m1 (pp) G97	22.869137	
p2 (pp) G97	22.869137	
r2 (pp) G97	22.869137	
m2 (pp) G98	33.878579	
m3 (pp) G98	33.878579	
p1 (pp) G98	33.878579	
m2 (pp) G99	23.830915	
m3 (pp) G99	23.830915	
r1 (pp) G99	23.830915	
m2 (pp) G100	34.768951	
m3 (pp) G100	34.768951	
r2 (pp) G100	34.768951	
m2 (pp) G101	27.039163	
m4 (pp) G101	27.039163	
k4 (pp) G101	27.039163	
m2 (pp) G102	47.171515	
p1 (pp) G102	47.171515	
r1 (pp) G102	47.171515	
m2 (pp) G103	156.65744	
p1 (pp) G103	156.65744	
r2 (pp) G103	156.65744	
m2 (pp) G104	20.516762	
r1 (pp) G104	20.516762	
r3 (pp) G104	20.516762	
m2 (pp) G105	20.943615	
r1 (pp) G105	20.943615	
r4 (pp) G105	20.943615	
m3 (pp) G106	21.22458	
m4 (pp) G106	21.22458	
k3 (pp) G106	21.22458	
m3 (pp) G107	48.182606	
m4 (pp) G107	48.182606	
k4 (pp) G107	48.182606	
m3 (pp) G108	25.931119	
k1 (pp) G108	25.931119	
p1 (pp) G108	25.931119	
m3 (pp) G109	20.693468	
k1 (pp) G109	20.693468	
r1 (pp) G109	20.693468	
m3 (pp) G110	23.414137	
k2 (pp) G110	23.414137	
k3 (pp) G110	23.414137	
m3 (pp) G111	23.523402	
k3 (pp) G111	23.523402	
k4 (pp) G111	23.523402	
m3 (pp) G112	68.73461	
p1 (pp) G112	68.73461	
r1 (pp) G112	68.73461	
m3 (pp) G113	81.505188	
p1 (pp) G113	81.505188	
r2 (pp) G113	81.505188	
m3 (pp) G114	26.824745	
p1 (pp) G114	26.824745	
r3 (pp) G114	26.824745	
m3 (pp) G115	29.467577	
p1 (pp) G115	29.467577	
r4 (pp) G115	29.467577	
m3 (pp) G116	23.578993	
r1 (pp) G116	23.578993	
r3 (pp) G116	23.578993	
m3 (pp) G117	24.429682	
r1 (pp) G117	24.429682	
r4 (pp) G117	24.429682	
m4 (pp) G118	35.459209	
m5 (pp) G118	35.459209	
k4 (pp) G118	35.459209	
m4 (pp) G119	20.556531	
m6 (pp) G119	20.556531	
k4 (pp) G119	20.556531	
m4 (pp) G120	68.308492	
m7 (pp) G120	68.308492	
k4 (pp) G120	68.308492	
m4 (pp) G121	95.862971	
k1 (pp) G121	95.862971	
k4 (pp) G121	95.862971	
m4 (pp) G122	59.518562	
k2 (pp) G122	59.518562	
k4 (pp) G122	59.518562	
m4 (pp) G123	60.368781	
k3 (pp) G123	60.368781	
k4 (pp) G123	60.368781	
m4 (pp) G124	21.708427	
k4 (pp) G124	21.708427	
k6 (pp) G124	21.708427	
m4 (pp) G125	68.373598	
k4 (pp) G125	68.373598	
k7 (pp) G125	68.373598	
m4 (pp) G126	106.4325	
k4 (pp) G126	106.4325	
p1 (pp) G126	106.4325	
m4 (pp) G127	68.230558	
k4 (pp) G127	68.230558	
p3 (pp) G127	68.230558	
m4 (pp) G128	114.28173	
k4 (pp) G128	114.28173	
r1 (pp) G128	114.28173	
m4 (pp) G129	112.84675	
k4 (pp) G129	112.84675	
r2 (pp) G129	112.84675	
m4 (pp) G130	103.55222	
k4 (pp) G130	103.55222	
r3 (pp) G130	103.55222	
m4 (pp) G131	105.24098	
k4 (pp) G131	105.24098	
r4 (pp) G131	105.24098	
m4 (pp) G132	68.20991	
k4 (pp) G132	68.20991	
q1 (pp) G132	68.20991	
m4 (pp) G133	67.979912	
k4 (pp) G133	67.979912	
q2 (pp) G133	67.979912	
m4 (pp) G134	21.635123	
p1 (pp) G134	21.635123	
r2 (pp) G134	21.635123	
m5 (pp) G135	20.685429	
k1 (pp) G135	20.685429	
p2 (pp) G135	20.685429	
m5 (pp) G136	22.718088	
k6 (pp) G136	22.718088	
p1 (pp) G136	22.718088	
m5 (pp) G137	21.494451	
k6 (pp) G137	21.494451	
r1 (pp) G137	21.494451	
m5 (pp) G138	21.108007	
p2 (pp) G138	21.108007	
r4 (pp) G138	21.108007	
m5 (pp) G139	20.398353	
r1 (pp) G139	20.398353	
r3 (pp) G139	20.398353	
m6 (pp) G140	21.818039	
k1 (pp) G140	21.818039	
r1 (pp) G140	21.818039	
m6 (pp) G141	21.233353	
r1 (pp) G141	21.233353	
r3 (pp) G141	21.233353	
m6 (pp) G142	21.533723	
r1 (pp) G142	21.533723	
r4 (pp) G142	21.533723	
k1 (pp) G143	28.235518	
p1 (pp) G143	28.235518	
r1 (pp) G143	28.235518	
k1 (pp) G144	23.185711	
p2 (pp) G144	23.185711	
r1 (pp) G144	23.185711	
k2 (pp) G145	20.123866	
k3 (pp) G145	20.123866	
k5 (pp) G145	20.123866	
k2 (pp) G146	22.452855	
k3 (pp) G146	22.452855	
p1 (pp) G146	22.452855	
k2 (pp) G147	21.468636	
k3 (pp) G147	21.468636	
r1 (pp) G147	21.468636	
k2 (pp) G148	21.83276	
k3 (pp) G148	21.83276	
r2 (pp) G148	21.83276	
k2 (pp) G149	24.318997	
p1 (pp) G149	24.318997	
r1 (pp) G149	24.318997	
k2 (pp) G150	41.154342	
p1 (pp) G150	41.154342	
r2 (pp) G150	41.154342	
k3 (pp) G151	25.252655	
p1 (pp) G151	25.252655	
r1 (pp) G151	25.252655	
